Question,Answer
What is Bitint?,"Bitint is a blockchain intelligence and crypto compliance platform that helps institutions trace funds, monitor transactions, and produce audit-ready evidence."
Who uses Bitint?,"Our platform is built for VASPs, exchanges, stablecoin issuers, financial institutions, law enforcement, regulators, and crypto payments teams."
What makes Bitint different from other tracing tools?,"Bitint focuses on white-box risk scoring and deterministic entity resolution, providing explainable, audit-ready evidence instead of opaque scores."
How fast is your Transaction Monitoring API?,Our API delivers risk scores and attribution data within 200ms of a transaction being broadcast to the mempool.
How many blockchains do you support?,"Bitint natively supports over 150 blockchains, including Bitcoin, Ethereum, Tron, BSC, Solana, Polygon, Avalanche, and major Layer 2 networks."
Do you support cross-chain tracing?,"Yes, Bitint automatically tracks illicit funds as they move across bridges and swap protocols."
Can Bitint trace funds through decentralized exchanges (DEXs)?,"Yes, our engine parses smart contract events to trace value swapped through automated market makers like Uniswap and Curve."
How does Bitint handle false positives?,"We use deterministic entity resolution rather than probabilistic guessing, significantly reducing alert fatigue."
What is White-box Risk Scoring?,"White-box risk scoring exposes the exact cryptographic and heuristic trail used to calculate a risk score, ensuring full explainability."
Are Bitint's reports court-admissible?,"Yes. We provide complete, mathematically verifiable data provenance that has been used successfully in numerous global jurisdictions."
Does Bitint monitor indirect exposure?,"Yes, our platform calculates multi-hop exposure, allowing you to set policies based on funds that are multiple hops away from an illicit entity."
Do you offer an on-premise solution?,"Yes, Bitint offers dedicated private cloud deployments and VPC peering for institutions with strict data residency requirements."
What is Entity Clustering?,"It is the data science process of identifying multiple pseudonymous addresses and grouping them into a single, cohesive entity."
What is the difference between UTXO and Account-based tracing?,"Bitcoin uses the UTXO model which allows change-address clustering, whereas Ethereum uses the Account model which relies on behavioral heuristics."
What is a Peeling Chain?,"A money laundering typology where a large balance is broken down via a series of transactions, peeling off small amounts to obscure the trail."
How does Bitint help with the Travel Rule?,"Our wallet screening allows teams to perform counterparty due diligence, ensuring Travel Rule data is only shared with compliant, safe VASPs."
What is an investigation graph?,"A visual tool within Bitint that allows analysts to map transaction flows, group entities, and untangle complex laundering webs."
How do I book a demo?,You can book a demo by navigating to our Contact Us page and filling out the request form.
What is your pricing model?,Our pricing is tailored to your organization's volume and specific feature requirements. Contact sales for a custom quote.
Do you offer Wallet Screening?,"Yes, our wallet screening solution provides real-time risk checks before you authorize withdrawals or accept deposits."
What is Stablecoin Risk Management?,A specialized solution for stablecoin issuers to monitor secondary market activity and freeze addresses linked to illicit behavior.
Can law enforcement use Bitint?,"Absolutely. We provide advanced case reporting, audit trails, and PGP-encrypted communication for law enforcement agencies."
How can I contact support?,"You can reach our team via the live chat, or email us at contact@bitint.io."
Is Bitint SOC2 compliant?,We are currently in the process of obtaining our SOC2 Type II and ISO 27001 certifications.
Where can I find your Privacy Policy?,You can find a link to our Privacy Policy in the footer of our website.
Can I export data from the Investigation Graph?,"Yes, analysts can easily export findings into clean, audit-ready case reports."
Does Bitint track darknet markets?,"Yes, we maintain an extensive proprietary database of attributions covering darknet markets, ransomware groups, and sanctioned entities."
What is Entity Intelligence?,"Our continuously updated directory that enriches addresses with real-world identities, risk categories, and operational profiles."
Do you support API integrations?,"Yes, Bitint offers a robust, RESTful API layer for seamless integration into your existing compliance workflows."
What is a dusting attack?,Sending tiny amounts of crypto to many addresses to unmask the privacy of the wallet owners.
What is a VASP?,"Virtual Asset Service Provider, any entity that provides services related to virtual assets like exchanges or custodians."
What is a Mixer or Tumbler?,A service that obfuscates the origin of cryptocurrency by pooling and scrambling funds from multiple users.
How does Bitint track mixers?,We employ advanced heuristics to identify mixer deposits and analyze withdrawal patterns to trace obfuscated funds.
What does OFAC stand for?,"The Office of Foreign Assets Control, a US agency that administers and enforces economic and trade sanctions."
Can Bitint automatically freeze funds?,"Bitint provides the intelligence and API triggers to your backend, but the actual freezing of funds is executed by the exchange or issuer."
Who are Bitint's founders?,"Bitint was founded by Gal Hadad (CEO) and Avi Elmaleh, bringing expertise from intelligence and cryptography backgrounds."
Does Bitint have a careers page?,"Yes, you can view our open positions on the Careers page under the Company menu."
What is your stance on privacy?,"We trace funds, not people. We adhere to 'Privacy by Design' and only unmask entities when evidence supports it."
Are you hiring?,"We are always looking for top talent in engineering, compliance, and investigations. Check our Careers page."
Do you partner with other technology providers?,"Yes, we offer OEM and white-label agreements. See our Partners page for more details."
What is Chain Hopping?,A laundering technique involving the rapid transfer of assets across different blockchains to obscure the trail.
How do you detect Chain Hopping?,Our cross-chain tracing engine automatically links deposits and withdrawals across major bridges and DEXs.
What is AML?,Anti-Money Laundering refers to regulations intended to prevent criminals from disguising illegally obtained funds.
What is KYT?,Know Your Transaction is the process of monitoring cryptocurrency transactions for risk and compliance purposes.
Does Bitint offer KYT?,"Yes, our Transaction Monitoring solution is a comprehensive KYT engine."
What is a Smart Contract?,Self-executing code deployed on a blockchain that automatically enforces the terms of an agreement.
Does Bitint monitor DeFi protocols?,"Yes, we continuously map and monitor decentralized finance protocols, including lending platforms and DEXs."
Can I integrate Bitint into my existing case management tool?,"Yes, our API and Data Layer allow you to pipe our intelligence directly into your internal tooling."
How frequently is your attribution data updated?,Our data layer is updated in real-time as our algorithms and intelligence analysts identify new entities and risks.
Is your system scalable for high-volume exchanges?,"Absolutely, our infrastructure is built to handle thousands of transactions per second with sub-second latency."
What is an Investigator role in Bitint?,"Investigators use Bitint to trace funds, construct visual graphs, and generate court-admissible evidence reports."
What is a Compliance role in Bitint?,"Compliance teams use our platform to monitor transactions, manage alerts, and automatically screen wallets against sanctions lists."
